url,prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8,popularity
http://es.wikipedia.org/skins-1.5/common/images/button_bold.png,3,4,7,4,32,0,0,0,1
http://upload.wikimedia.org/wikipedia/en/thumb/8/82/Oxford_Series_IV_front.jpg/120px-Oxford_Series_IV_front.jpg,1,1,1,1,15,56,43,42,0
http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wikiquote-logo.svg/35px-Wikiquote-logo.svg.png,1,1,3,1,16,57,44,43,1
http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/50px-Flag_of_South_Africa.svg.png,1,1,3,1,11,58,45,44,0
http://pl.wikipedia.org/wiki/Pieni%C4%85dze_brytyjskie,4,5,35,0,0,0,0,0,0
http://fr.wikipedia.org/wiki/Jon_Voight,10,5,36,0,0,0,0,0,0
http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,1,1,3,1,7,59,46,45,1
http://es.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart,3,5,37,0,0,0,0,0,0
http://upload.wikimedia.org/wikipedia/it/b/bc/Wiki.png,1,1,38,21,26,44,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Deftones_live.jpg/220px-Deftones_live.jpg,1,1,3,1,11,9,47,46,0
http://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Wikibooks-logo-en.svg/50px-Wikibooks-logo-en.svg.png,1,1,3,1,30,60,48,47,1
http://en.wikipedia.org/skins-1.5/common/commonPrint.css?99,2,4,7,5,0,0,0,0,1
http://pt.wikipedia.org/skins-1.5/common/IEFixes.js?99,7,4,7,27,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Cherokeenationalflag.png/200px-Cherokeenationalflag.png,1,1,3,1,12,61,49,48,0
http://en.wikibooks.org/images/wikimedia-button.png,18,2,39,0,0,0,0,0,0
http://es.wikipedia.org/skins-1.5/monobook/bullet.gif,3,4,6,22,0,0,0,0,1
http://it.wikipedia.org/skins-1.5/common/IEFixes.js?99,13,4,7,27,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/SC06_1964_Ferrari_250_GT_Lusso_Berlinetta.jpg/250px-SC06_1964_Ferrari_250_GT_Lusso_Berlinetta.jpg,1,1,3,1,30,62,50,49,0
http://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Deutschland_Lage_von_Bayern.svg/250px-Deutschland_Lage_von_Bayern.svg.png,1,1,3,1,24,63,51,50,0
http://en.wikipedia.org/wiki/Inktomi,2,5,40,0,0,0,0,0,0
http://upload.wikimedia.org/math/a/8/6/a86138e24c266f0bc1da625e750511e1.png,1,7,41,28,6,64,0,0,0
http://de.wikipedia.org/skins-1.5/common/images/button_italic.png,5,4,7,4,33,0,0,0,0
http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_Louisiana.svg/25px-Flag_of_Louisiana.svg.png,1,1,3,1,1,65,52,51,0
http://en.wikipedia.org/wiki/Bratz,2,5,42,0,0,0,0,0,0
http://en.wikipedia.org/skins-1.5/monobook/external.png,2,4,6,12,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Map_california_central_valley.jpg/250px-Map_california_central_valley.jpg,1,1,3,1,4,13,53,52,0
http://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Commons-logo.svg/35px-Commons-logo.svg.png,1,1,3,1,3,3,3,53,1
http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wikibooks-logo.svg/35px-Wikibooks-logo.svg.png,1,1,3,1,16,57,54,54,1
http://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/25px-Flag_of_Luxembourg.svg.png,1,1,3,1,21,33,55,55,0
http://upload.wikimedia.org/wikipedia/pt/b/bc/Wiki.png,1,1,43,21,26,44,0,0,1
http://upload.wikimedia.org/wikipedia/fr/b/bc/Wiki.png,1,1,44,21,26,44,0,0,1
http://es.wikipedia.org/wiki/Imagen:Series_of_an_ejaculating_penis.JPG,3,5,45,0,0,0,0,0,0
http://pl.wikipedia.org/skins-1.5/monobook/headbg.jpg,4,4,6,8,0,0,0,0,1
http://es.wikipedia.org/images/wikimedia-button.png,3,2,39,0,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/en/thumb/6/61/PeiperSS.jpg/200px-PeiperSS.jpg,1,1,1,1,6,66,56,56,0
http://upload.wikimedia.org/wikipedia/en/thumb/5/51/Vlcsnap-5522132.png/230px-Vlcsnap-5522132.png,1,1,1,1,7,67,57,57,0
http://upload.wikimedia.org/math/5/7/a/57a7da04466506abe49d195776112785.png,1,7,46,20,11,68,0,0,0
http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Wikinews-logo.svg/35px-Wikinews-logo.svg.png,1,1,3,1,24,69,58,58,1
http://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Yemen.svg/22px-Flag_of_Yemen.svg.png,1,1,3,1,15,70,59,59,0
http://www.wikipedia.org/,19,8,0,0,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/18px-Commons-logo.svg.png,1,1,1,1,3,3,3,60,1
http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Spain_traffic_signal_p8.svg/72px-Spain_traffic_signal_p8.svg.png,1,1,3,1,14,12,60,61,0
http://en.wikipedia.org/skins-1.5/common/IEFixes.js?99,2,4,7,27,0,0,0,0,1
http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/%E6%9B%B8.svg/50px-%E6%9B%B8.svg.png,1,1,3,1,15,71,61,62,0
